SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,3,1538,2112,V=041,S=0477,VL
2,3,1538,2771,V=040,S=0478,VL
2,3,1538,4684,V=036,S=0416,VL
2,3,1538,5447,V=035,S=0376,VL
2,3,1539,499,V=036,S=0323,VL
2,3,1539,649,V=035,S=0394,VL
2,3,1539,2881,V=039,S=0443,VL
2,3,1539,3337,V=035,S=0231,VL
2,3,1539,3500,V=037,S=0518,VL
2,3,1539,3543,V=037,S=0267,VL
2,3,1539,3582,V=036,S=0159,2R
2,3,1539,3741,V=037,S=0443,VL
2,3,1539,4012,V=036,S=0455,VL
2,3,1539,5099,V=035,S=0453,VL
2,3,1539,5339,V=034,S=0467,VL
2,3,1539,5632,V=039,S=0492,VL
2,3,1540,115,V=040,S=0366,VL
2,3,1540,326,V=043,S=0459,VL
2,3,1540,823,V=034,S=0470,VL
2,3,1540,3525,V=031,S=0457,VL
2,3,1540,3772,V=037,S=0443,VL
2,3,1540,4735,V=031,S=0475,VL
2,3,1540,5197,V=043,S=0501,VL
2,3,1541,551,V=032,S=0161,2R
2,3,1541,733,V=035,S=0539,VL
2,3,1541,2937,V=032,S=0386,VL
2,3,1541,2960,V=033,S=0151,2R
2,3,1541,3480,V=037,S=0456,VL
2,3,1541,3818,V=035,S=0430,VL
2,3,1541,4264,V=037,S=0438,VL
2,3,1541,4758,V=033,S=0598,VL
2,3,1542,306,V=037,S=0414,VL
2,3,1542,415,V=037,S=0426,VL
2,3,1542,1088,V=057,S=0420,VL
2,3,1542,3637,V=041,S=0470,VL
2,3,1542,4139,V=046,S=0432,VL
2,3,1542,5668,V=038,S=0394,VL
2,3,1543,2751,V=037,S=0380,VL
2,3,1543,2935,V=045,S=0454,VL
2,3,1543,4013,V=037,S=0291,VL
2,3,1543,4589,V=032,S=0485,VL
2,3,1543,4804,V=036,S=0368,VL
2,3,1543,5536,V=045,S=0466,VL
2,3,1543,5758,V=047,S=0438,VL
2,3,1543,5832,V=050,S=0561,VL
2,3,1544,313,V=044,S=0607,VL
2,3,1544,531,V=044,S=0203,VL
2,3,1544,2199,V=033,S=0427,VL
2,3,1544,2458,V=031,S=0411,VL
2,3,1544,2702,V=033,S=0389,VL
2,3,1545,1189,V=040,S=0464,VL
2,3,1545,1299,V=040,S=0360,VL
2,3,1545,1491,V=039,S=0219,VL
2,3,1545,1805,V=035,S=0436,VL
2,3,1545,2462,V=035,S=0468,VL
2,3,1545,2695,V=037,S=0427,VL
2,3,1545,3552,V=039,S=0418,VL
2,3,1545,3645,V=039,S=0412,VL
2,3,1545,4078,V=045,S=0552,VL
2,3,1545,4613,V=037,S=0458,VL
2,3,1545,4716,V=040,S=0279,VL
2,3,1545,5113,V=036,S=0165,2R
2,3,1546,29,V=032,S=0455,VL
2,3,1546,162,V=032,S=0410,VL
2,3,1546,1426,V=036,S=0432,VL
2,3,1546,3486,V=031,S=0466,VL
2,3,1546,4336,V=042,S=0488,VL
2,3,1547,913,V=034,S=0395,VL
2,3,1547,1261,V=041,S=0492,VL
2,3,1547,1823,V=035,S=0510,VL
2,3,1547,2032,V=035,S=0756,VL
2,3,1547,2160,V=036,S=0365,VL
2,3,1547,2542,V=038,S=0395,VL
2,3,1547,3259,V=038,S=0403,VL
2,3,1547,3826,V=040,S=0348,VL
2,3,1547,4852,V=045,S=0412,VL
2,3,1547,5029,V=044,S=0469,VL
2,3,1548,22,V=035,S=0377,VL
2,3,1548,187,V=034,S=0424,VL
2,3,1548,708,V=042,S=0482,VL
2,3,1548,890,V=043,S=0430,VL
2,3,1548,1524,V=040,S=0581,VL
2,3,1548,2704,V=042,S=0485,VL
2,3,1548,3023,V=039,S=0445,VL
2,3,1548,3572,V=040,S=0445,VL
2,3,1548,4881,V=034,S=0445,VL
2,3,1548,5855,V=035,S=0436,VL
2,3,1549,18,V=032,S=0408,VL
2,3,1549,263,V=033,S=0499,VL
2,3,1549,417,V=031,S=0223,VL
2,3,1549,783,V=032,S=0409,VL
2,3,1549,912,V=032,S=0374,VL
2,3,1549,1075,V=034,S=0471,VL
2,3,1549,2750,V=041,S=0407,VL
2,3,1550,24,V=041,S=0397,VL
2,3,1550,556,V=039,S=0454,VL
2,3,1550,1361,V=036,S=0430,VL
2,3,1550,1649,V=041,S=0355,VL
2,3,1550,3033,V=030,S=0504,VL
2,3,1550,3698,V=041,S=0623,VL
2,3,1550,3911,V=040,S=0525,VL
2,3,1550,4163,V=046,S=0442,VL
2,3,1550,5426,V=034,S=0443,VL
2,3,1550,5806,V=042,S=0429,VL
2,3,1551,543,V=034,S=0490,VL
2,3,1551,1553,V=038,S=0494,VL
2,3,1551,2201,V=038,S=0404,VL
2,3,1551,3120,V=034,S=0457,VL
2,3,1551,3758,V=035,S=0478,VL
2,3,1551,4965,V=033,S=0436,VL
2,3,1551,5306,V=042,S=0402,VL
2,3,1551,5505,V=041,S=0406,VL
2,3,1552,485,V=038,S=0467,VL
2,3,1552,2563,V=041,S=0561,VL
2,3,1552,2834,V=039,S=0418,VL
2,3,1552,3089,V=034,S=0377,VL
2,3,1552,3355,V=034,S=0508,VL
2,3,1552,3649,V=030,S=0340,VL
2,3,1552,3815,V=035,S=0735,VL
2,3,1552,5427,V=037,S=0481,VL
2,3,1552,5613,V=040,S=0379,VL
2,3,1553,926,V=032,S=0393,VL
2,3,1553,1134,V=032,S=0400,VL
2,3,1553,2486,V=033,S=0496,VL
2,3,1553,3273,V=030,S=0545,VL
2,3,1553,3464,V=032,S=0391,VL
2,3,1553,3618,V=032,S=0449,VL
2,3,1553,3899,V=034,S=0433,VL
2,3,1553,4369,V=029,S=0435,VL
2,3,1553,4571,V=025,S=0601,VL
2,3,1553,5164,V=025,S=0444,VL
2,3,1554,748,V=037,S=0473,VL
2,3,1554,1295,V=034,S=0483,VL
2,3,1554,1511,V=035,S=0466,VL
2,3,1554,1705,V=032,S=0493,VL
2,3,1554,1986,V=029,S=0482,VL
2,3,1554,2116,V=030,S=0358,VL
2,3,1554,2146,V=031,S=0178,2R
2,3,1554,2980,V=040,S=0387,VL
2,3,1554,3136,V=042,S=0456,VL
2,3,1554,3644,V=042,S=0390,VL
2,3,1554,5825,V=031,S=0400,VL
2,3,1555,850,V=036,S=0437,VL
2,3,1555,964,V=038,S=0405,VL
2,3,1555,2007,V=033,S=0438,VL
2,3,1555,2156,V=034,S=0399,VL
2,3,1555,2385,V=034,S=0448,VL
2,3,1555,2797,V=036,S=0405,VL
2,3,1555,3220,V=037,S=0557,VL
