ID,Catégorie,Horodate,Entrant,Sortant
100406,VELO,2022/10/04 13:15:49.454,x,
1019,VL,2022/10/04 13:16:11.786,,x
1020,VELO,2022/10/04 13:17:06.322,,x
100407,VL,2022/10/04 13:17:25.716,x,
100439,VL,2022/10/04 13:18:24.786,x,
1112,VELO,2022/10/04 13:19:10.785,x,
1136,VELO,2022/10/04 13:19:44.251,,x
1141,VELO,2022/10/04 13:20:02.584,x,
100466,VELO,2022/10/04 13:20:11.316,x,
1144,VL,2022/10/04 13:20:18.117,,x
100467,VL,2022/10/04 13:20:29.717,x,
1146,VELO,2022/10/04 13:21:00.251,x,
1148,VELO,2022/10/04 13:21:02.119,x,
100469,MOTO,2022/10/04 13:21:03.719,x,
1150,VELO,2022/10/04 13:21:07.251,x,
100474,VL,2022/10/04 13:22:17.115,x,
100477,VELO,2022/10/04 13:22:21.515,x,
100478,VELO,2022/10/04 13:22:34.984,x,
100484,EDPM,2022/10/04 13:23:07.448,x,
1160,EDPM,2022/10/04 13:23:10.449,x,
1161,VELO,2022/10/04 13:23:19.115,,x
100486,VL,2022/10/04 13:23:40.915,x,
100487,VELO,2022/10/04 13:23:48.048,x,
100490,VELO,2022/10/04 13:24:04.582,x,
100494,VL,2022/10/04 13:24:20.115,x,
100503,UT,2022/10/04 13:25:07.848,x,
100512,VL,2022/10/04 13:25:36.848,x,
100513,VELO,2022/10/04 13:26:08.714,x,
100516,VL,2022/10/04 13:26:40.781,x,
1196,VL,2022/10/04 13:26:53.515,,x
100517,VELO,2022/10/04 13:27:07.380,x,
100519,VL,2022/10/04 13:27:23.312,x,
100520,VELO,2022/10/04 13:28:27.645,x,
100523,MOTO,2022/10/04 13:29:15.246,x,
100525,VL,2022/10/04 13:29:17.246,x,
100533,VELO,2022/10/04 13:30:15.645,x,
100534,VL,2022/10/04 13:30:18.778,x,
100535,VL,2022/10/04 13:30:31.380,x,
100537,VELO,2022/10/04 13:30:59.911,x,
1236,VELO,2022/10/04 13:31:07.512,,x
100542,VELO,2022/10/04 13:32:08.909,x,
100554,VL,2022/10/04 13:32:42.711,x,
100555,VL,2022/10/04 13:32:45.845,x,
100559,VELO,2022/10/04 13:33:21.044,x,
100563,VELO,2022/10/04 13:33:30.045,x,
100571,VELO,2022/10/04 13:34:12.908,x,
100572,VELO,2022/10/04 13:34:13.376,x,
100575,VELO,2022/10/04 13:34:27.842,x,
100582,VELO,2022/10/04 13:34:35.042,x,
100583,VL,2022/10/04 13:34:38.842,x,
100584,VL,2022/10/04 13:34:42.510,x,
100585,VL,2022/10/04 13:35:11.843,x,
1287,PL_2,2022/10/04 13:35:21.910,,x
1289,VELO,2022/10/04 13:35:30.706,x,
100587,VELO,2022/10/04 13:35:43.442,x,
100597,VL,2022/10/04 13:36:51.575,x,
100599,EDPM,2022/10/04 13:37:00.442,,x
1318,VELO,2022/10/04 13:37:23.241,,x
100600,VL,2022/10/04 13:38:05.973,x,
1335,VELO,2022/10/04 13:38:12.107,,x
100601,VL,2022/10/04 13:38:14.708,x,
100602,VL,2022/10/04 13:38:22.573,x,
