SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1548,2551,V=043,S=0504,VL
1,3,1548,5583,V=044,S=0528,VL
1,3,1548,5710,V=046,S=0495,VL
1,3,1549,46,V=053,S=0487,VL
1,3,1549,1086,V=045,S=0276,VL
1,3,1549,1524,V=046,S=0446,VL
1,3,1549,1726,V=046,S=0481,VL
1,3,1549,2062,V=043,S=0491,VL
1,3,1549,2251,V=042,S=0553,VL
1,3,1549,2483,V=048,S=0593,VL
1,3,1549,4762,V=048,S=0498,VL
1,3,1549,4954,V=047,S=0392,VL
1,3,1550,388,V=036,S=0568,VL
1,3,1550,513,V=035,S=0355,VL
1,3,1550,1715,V=041,S=0611,VL
1,3,1550,1797,V=039,S=0214,VL
1,3,1551,4947,V=042,S=0555,VL
1,3,1551,5360,V=040,S=0602,VL
1,3,1551,5524,V=041,S=0603,VL
1,3,1551,5777,V=042,S=0512,VL
1,3,1552,206,V=038,S=0469,VL
1,3,1552,355,V=036,S=0398,VL
1,3,1552,491,V=036,S=0509,VL
1,3,1552,645,V=034,S=0500,VL
1,3,1552,967,V=042,S=0531,VL
1,3,1552,1323,V=033,S=0483,VL
1,3,1552,1863,V=034,S=0448,VL
1,3,1552,1887,V=034,S=0183,VL
1,3,1552,2189,V=035,S=0507,VL
1,3,1552,2354,V=036,S=0456,VL
1,3,1552,3204,V=040,S=0467,VL
1,3,1552,3375,V=040,S=0556,VL
1,3,1552,3611,V=041,S=0514,VL
1,3,1552,4978,V=044,S=0514,VL
1,3,1553,5531,V=055,S=0231,VL
1,3,1554,367,V=048,S=0561,VL
1,3,1554,1099,V=044,S=0554,VL
1,3,1554,1234,V=043,S=0221,VL
1,3,1554,1779,V=053,S=0475,VL
1,3,1554,2350,V=049,S=0582,VL
1,3,1554,2759,V=049,S=0527,VL
1,3,1554,2895,V=046,S=0450,VL
1,3,1554,3163,V=044,S=0629,VL
1,3,1554,3655,V=045,S=0609,VL
1,3,1554,3795,V=046,S=0494,VL
1,3,1554,3820,V=048,S=0239,VL
1,3,1554,4312,V=052,S=0494,VL
1,3,1554,5746,V=041,S=0219,VL
1,3,1555,635,V=046,S=0486,VL
1,3,1555,1138,V=042,S=0585,VL
1,3,1555,1241,V=043,S=0556,VL
1,3,1555,2830,V=041,S=0606,VL
1,3,1555,3051,V=043,S=0523,VL
1,3,1555,3826,V=048,S=0488,VL
1,3,1555,4770,V=042,S=0508,VL
1,3,1555,5100,V=045,S=0749,VL
1,3,1556,1608,V=047,S=0482,VL
1,3,1556,2067,V=050,S=0410,VL
1,3,1556,2336,V=044,S=0548,VL
1,3,1556,3378,V=040,S=0697,VL
1,3,1556,5785,V=042,S=0609,VL
1,3,1557,1845,V=051,S=0726,VL
1,3,1557,2209,V=048,S=0331,VL
