Horodatage,Voie,Vitesse (km/h),Longueur (m),Classe
03/10/2022 11:45:56,900,Sortie Fac,15,8,3,7,VL
03/10/2022 11:46:08,600,Entrée Fac,34,3,3,2,VL
03/10/2022 11:46:13,000,Entrée Fac,43,2,3,5,VL
03/10/2022 11:46:33,500,Entrée Fac,42,5,3,9,VL
03/10/2022 11:46:36,200,Sortie Fac,12,7,3,9,VL
03/10/2022 11:47:36,800,Entrée Fac,28,0,14,3,Bus
03/10/2022 11:47:37,900,Entrée Fac,28,0,3,0,VL
03/10/2022 11:47:59,700,Entrée Fac,46,5,3,7,VL
03/10/2022 11:48:17,600,Sortie Fac,19,3,4,0,VL
03/10/2022 11:48:22,200,Entrée Fac,11,2,3,9,VL
03/10/2022 11:48:36,400,Sortie Fac,35,3,2,4,Deux roues
03/10/2022 11:48:38,200,Sortie Fac,39,6,3,4,VL
03/10/2022 11:48:46,500,Sortie Fac,37,2,3,2,VL
03/10/2022 11:49:48,800,Sortie Fac,29,2,3,4,VL
03/10/2022 11:51:31,700,Sortie Fac,51,5,3,5,VL
03/10/2022 11:51:38,900,Sortie Fac,22,9,3,6,VL
03/10/2022 11:51:41,800,Entrée Fac,44,8,3,7,VL
03/10/2022 11:52:26,700,Sortie Fac,28,0,3,3,VL
03/10/2022 11:52:27,300,Sortie Fac,30,1,2,7,VL
03/10/2022 11:52:32,200,Entrée Fac,52,3,3,8,VL
03/10/2022 11:53:19,900,Sortie Fac,27,5,14,3,Bus
03/10/2022 11:53:30,900,Entrée Fac,69,1,0,9,Deux roues
03/10/2022 11:53:51,000,Entrée Fac,48,2,2,1,Deux roues
03/10/2022 11:53:51,200,Entrée Fac,42,8,3,0,VL
03/10/2022 11:53:52,000,Sortie Fac,29,2,8,0,PL
03/10/2022 11:53:52,400,Sortie Fac,30,1,16,0,Bus
03/10/2022 11:53:56,000,Sortie Fac,31,9,3,0,VL
03/10/2022 11:54:00,600,Sortie Fac,30,1,3,9,VL
03/10/2022 11:54:54,300,Sortie Fac,22,6,2,7,VL
03/10/2022 11:54:54,800,Sortie Fac,23,2,3,0,VL
03/10/2022 11:54:55,500,Sortie Fac,20,5,3,3,VL
03/10/2022 11:54:56,500,Sortie Fac,22,5,2,6,VL
03/10/2022 11:55:13,100,Sortie Fac,41,9,3,5,VL
03/10/2022 11:55:40,400,Entrée Fac,50,8,3,3,VL
03/10/2022 11:56:15,600,Entrée Fac,47,7,3,9,VL
03/10/2022 11:56:22,500,Sortie Fac,45,4,3,8,VL
03/10/2022 11:57:37,100,Sortie Fac,40,0,3,9,VL
03/10/2022 11:57:46,900,Sortie Fac,41,8,3,8,VL
03/10/2022 11:58:05,600,Sortie Fac,38,3,8,2,PL
03/10/2022 11:58:06,900,Sortie Fac,38,3,3,8,VL
03/10/2022 11:58:32,300,Sortie Fac,54,0,3,5,VL
03/10/2022 11:59:48,500,Entrée Fac,48,0,3,7,VL
03/10/2022 12:00:08,900,Sortie Fac,52,7,3,4,VL
03/10/2022 12:00:19,300,Sortie Fac,74,3,1,5,Deux roues
03/10/2022 12:00:32,300,Sortie Fac,52,4,3,7,VL
03/10/2022 12:00:47,900,Sortie Fac,39,4,3,5,VL
03/10/2022 12:01:23,300,Entrée Fac,34,5,15,1,Bus
03/10/2022 12:01:55,500,Sortie Fac,23,7,3,8,VL
03/10/2022 12:01:55,700,Sortie Fac,25,6,3,3,VL
03/10/2022 12:02:34,800,Entrée Fac,49,9,3,8,VL
03/10/2022 12:02:40,700,Entrée Fac,37,4,3,9,VL
03/10/2022 12:02:41,600,Entrée Fac,36,9,3,9,VL
03/10/2022 12:04:18,100,Entrée Fac,31,9,3,9,VL
03/10/2022 12:04:22,700,Entrée Fac,39,9,3,8,VL
03/10/2022 12:04:30,300,Sortie Fac,15,8,4,4,VL
03/10/2022 12:04:38,500,Sortie Fac,11,2,3,1,VL
03/10/2022 12:04:39,500,Sortie Fac,11,3,13,4,Bus
03/10/2022 12:04:43,300,Entrée Fac,27,1,3,7,VL
03/10/2022 12:04:44,300,Sortie Fac,11,9,3,9,VL
03/10/2022 12:05:17,200,Entrée Fac,33,8,11,1,Bus
03/10/2022 12:05:26,400,Entrée Fac,26,5,14,7,Bus
03/10/2022 12:05:28,800,Sortie Fac,30,4,3,5,VL
