ID,Catégorie,Horodate,détection de départ,détection de sortie,REMARQUE
4805,VL,2022/10/06 19:29:27.664,S2,E,
4813,VL,2022/10/06 19:33:46.117,E,S2,
4822,VL,2022/10/06 19:36:07.483,E,S2,
4865,VL,2022/10/06 19:37:24.482,S2,E,
4884,VL,2022/10/06 19:47:54.033,S2,E,
4886,VL,2022/10/06 19:50:06.764,S2,E,
4891,VL,2022/10/06 19:51:55.215,E,S2,
4900,VL,2022/10/06 19:53:13.065,S2,E,
4935,PL_1,2022/10/06 19:54:54.264,S2,E,
4955,VL,2022/10/06 19:56:05.748,S2,E,
4974,VL,2022/10/06 19:57:33.147,E,S2,
5007,VELO,2022/10/06 19:58:16.448,E,S2,
5016,VL,2022/10/06 19:58:53.948,S2,E,
5021,VL,2022/10/06 19:59:55.749,E,S2,
5033,VL,2022/10/06 20:00:37.648,S2,E,
5042,VL,2022/10/06 20:00:49.750,S2,E,
5062,VL,2022/10/06 20:01:39.648,E,S2,
5063,VL,2022/10/06 20:01:46.850,S2,E,
5079,UT,2022/10/06 20:02:34.248,S2,E,
5083,VELO,2022/10/06 20:02:50.548,S2,E,
5085,VL,2022/10/06 20:03:00.649,S2,E,
5093,VL,2022/10/06 20:03:21.248,S2,E,
5094,VELO,2022/10/06 20:03:22.149,S2,E,
5114,VL,2022/10/06 20:04:25.248,E,S2,
5137,VL,2022/10/06 20:05:34.348,S2,E,
5163,VL,2022/10/06 20:06:24.847,S2,E,
5179,VL,2022/10/06 20:06:53.851,S2,E,
5211,VL,2022/10/06 20:07:37.049,S3,E,
5236,VL,2022/10/06 20:08:39.247,S2,E,
5245,VELO,2022/10/06 20:08:57.846,S2,E,
5252,MOTO,2022/10/06 20:10:22.149,S2,E,
5261,VL,2022/10/06 20:11:50.248,S2,E,
5264,VL,2022/10/06 20:12:07.448,E,S2,
5271,VL,2022/10/06 20:12:34.849,S2,S3,
5272,VL,2022/10/06 20:12:35.749,S2,E,
5274,VL,2022/10/06 20:12:41.048,S2,E,
5293,VL,2022/10/06 20:13:39.147,E,S2,
5295,MOTO,2022/10/06 20:14:09.948,S2,E,
5318,VL,2022/10/06 20:15:13.851,E,S2,
5336,MOTO,2022/10/06 20:15:34.749,S2,E,
5357,VL,2022/10/06 20:16:59.948,S2,E,
5362,VL,2022/10/06 20:17:31.548,S2,E,
5389,MOTO,2022/10/06 20:18:46.450,E,S2,
5444,MOTO,2022/10/06 20:21:41.950,S2,E,
5545,VL,2022/10/06 20:25:38.648,S2,E,
5562,VL,2022/10/06 20:27:42.948,E,S2,
5709,VL,2022/10/06 20:40:01.148,S2,E,
5711,VELO,2022/10/06 20:40:45.551,S2,E,
5740,VL,2022/10/06 20:42:26.849,E,S2,
5758,VL,2022/10/06 20:44:04.629,S2,E,
5774,UT,2022/10/06 20:44:26.230,S2,E,
5790,VL,2022/10/06 20:44:51.031,S3,E,
5871,MOTO,2022/10/06 20:54:45.563,S2,E,
5886,MOTO,2022/10/06 20:55:27.466,S2,E,
6039,VL,2022/10/06 21:07:04.897,S2,E,
6065,VELO,2022/10/06 21:10:38.898,S2,E,
6230,UT,2022/10/06 21:22:49.863,E,S2,
6365,VL,2022/10/06 21:30:14.763,E,S2,
6429,VELO,2022/10/06 21:38:14.896,E,S2,
6621,VL,2022/10/06 21:52:49.229,S2,E,
6757,PL_1,2022/10/06 22:01:27.665,E,S2,
6852,VELO,2022/10/06 22:10:07.266,E,S2,
7119,UT,2022/10/06 22:33:06.366,S2,E,
7545,VL,2022/10/06 23:32:26.532,E,S2,
7784,UT,2022/10/07 00:04:34.263,S2,E,
7787,VL,2022/10/07 00:04:38.129,E,S2,
7927,VELO,2022/10/07 00:39:31.930,S2,E,
8138,VL,2022/10/07 03:14:36.580,S2,E,
8149,VL,2022/10/07 03:37:15.483,S2,E,
8178,MOTO,2022/10/07 05:21:04.383,S2,S1,
8653,VL,2022/10/07 06:17:52.715,E,S2,
8715,UT,2022/10/07 06:21:51.915,E,S2,
9024,PL_1,2022/10/07 06:43:54.062,E,S1,
9027,PL_1,2022/10/07 06:46:45.831,S1,S3,
9104,VL,2022/10/07 06:54:12.796,E,S2,
9148,VL,2022/10/07 06:57:49.665,E,S2,
9149,VL,2022/10/07 06:57:52.029,E,S2,
9157,VL,2022/10/07 06:57:58.029,E,S2,
9224,VL,2022/10/07 07:06:08.998,S2,S1,
9327,VL,2022/10/07 07:22:59.697,E,S2,
9333,VL,2022/10/07 07:25:30.198,E,S2,
9339,VL,2022/10/07 07:25:46.566,E,S2,
9342,VL,2022/10/07 07:25:53.962,E,S1,
9349,VL,2022/10/07 07:26:13.563,E,S2,
9359,VL,2022/10/07 07:27:02.964,E,S2,
