Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
16/10/22,7:54,57,99,43,VL,1,256,,,,
16/10/22,8:6,8,17,52,VL,1,257,,,,
16/10/22,8:12,17,3,45,VL,1,256,,,,
16/10/22,8:12,27,32,39,VL,1,243,,,,
16/10/22,8:18,47,72,42,VL,1,271,,,,
16/10/22,8:20,56,30,38,Bus articul�,14,541,670,,,
16/10/22,8:22,6,96,32,VL,1,244,,,,
16/10/22,8:25,16,37,59,VL,1,270,,,,
16/10/22,8:31,15,9,47,VL,1,256,,,,
16/10/22,8:38,47,63,54,VL,1,259,,,,
16/10/22,8:41,57,62,56,VL,1,268,,,,
16/10/22,8:48,56,81,45,VL,1,193,,,,
16/10/22,8:58,24,0,58,VL,1,272,,,,
16/10/22,9:0,42,58,53,VL,1,258,,,,
16/10/22,9:0,55,99,54,VL,1,245,,,,
16/10/22,9:6,0,26,34,VL,1,257,,,,
16/10/22,9:8,22,93,40,VL,12,256,321,63,,
16/10/22,9:8,53,32,61,VL,1,270,,,,
16/10/22,9:10,26,98,49,2RM,13,153,,,,
16/10/22,9:13,6,9,47,VL,1,282,,,,
16/10/22,9:14,47,91,45,VL,1,231,,,,
16/10/22,9:17,27,57,37,VL,1,243,,,,
16/10/22,9:18,46,90,55,VL,1,258,,,,
16/10/22,9:22,26,39,45,VL,1,283,,,,
16/10/22,9:25,5,23,46,VL,1,256,,,,
16/10/22,9:28,14,26,32,VL,1,269,,,,
16/10/22,9:28,24,83,41,Bus articul�,14,512,678,,,
16/10/22,9:28,44,73,40,VL,1,372,,,,
16/10/22,9:31,38,74,39,VL,1,257,,,,
16/10/22,9:35,28,54,50,VL,1,256,,,,
16/10/22,9:36,30,97,48,VL,1,245,,,,
16/10/22,9:40,15,57,49,VL,1,270,,,,
16/10/22,9:44,31,81,51,VL,1,269,,,,
16/10/22,9:44,48,31,62,VL,1,256,,,,
16/10/22,9:46,31,78,44,VL,1,229,,,,
16/10/22,9:46,50,66,46,VL,1,244,,,,
16/10/22,9:48,3,89,49,VL,1,268,,,,
16/10/22,9:48,50,91,57,VL,1,245,,,,
16/10/22,9:52,20,94,49,VL,1,268,,,,
16/10/22,9:56,46,10,42,VL,1,230,,,,
16/10/22,9:58,16,96,42,VL,1,244,,,,
16/10/22,9:59,0,0,71,VL,1,258,,,,
16/10/22,10:0,18,44,62,VL,1,281,,,,
16/10/22,10:1,45,62,49,VL,1,243,,,,
16/10/22,10:1,56,4,54,VL,1,257,,,,
16/10/22,10:5,39,55,39,VL,1,230,,,,
16/10/22,10:8,3,53,41,VL,1,258,,,,
16/10/22,10:8,20,44,43,2RM,13,114,,,,
16/10/22,10:8,48,32,35,VL,1,283,,,,
16/10/22,10:9,21,73,43,VL,1,255,,,,
16/10/22,10:10,1,6,50,VL,1,243,,,,
16/10/22,10:10,27,73,60,VL,1,243,,,,
16/10/22,10:11,7,65,45,VL,1,282,,,,
16/10/22,10:12,14,15,48,VL,1,271,,,,
16/10/22,10:13,17,18,58,VL,1,241,,,,
16/10/22,10:14,1,92,72,VL,1,244,,,,
16/10/22,10:15,10,72,44,VL,1,230,,,,
16/10/22,10:16,31,30,44,VL,1,255,,,,
16/10/22,10:17,8,14,58,VL,1,241,,,,
16/10/22,10:17,39,75,58,VL,1,258,,,,
16/10/22,10:22,55,75,51,VL,1,244,,,,
16/10/22,10:25,42,94,47,VL,1,257,,,,
16/10/22,10:26,27,67,49,VL,1,256,,,,
16/10/22,10:27,23,49,47,VL,1,245,,,,
16/10/22,10:28,18,48,46,VL,1,257,,,,
