ID,Catégorie,Horodate,vers sortie,vers entrée
1775,UT,2022/10/10 17:17:22.483,x,
1778,VL,2022/10/10 17:18:22.116,x,
1779,VL,2022/10/10 17:18:24.052,x,
1780,VL,2022/10/10 17:18:25.965,x,
1784,PL_1,2022/10/10 17:18:37.150,x,
1786,VL,2022/10/10 17:19:05.600,x,
1788,VL,2022/10/10 17:19:12.348,x,
1790,VL,2022/10/10 17:19:19.599,x,
1791,VL,2022/10/10 17:19:31.084,x,
1792,VL,2022/10/10 17:19:56.868,x,
1793,VL,2022/10/10 17:20:56.200,x,
1796,VELO,2022/10/10 17:21:58.934,x,
1797,VELO,2022/10/10 17:22:17.750,x,
1800,VL,2022/10/10 17:22:45.682,x,
1806,VL,2022/10/10 17:23:53.300,x,
1807,VL,2022/10/10 17:24:24.051,x,
1822,VELO,2022/10/10 17:29:05.533,,x
1826,VL,2022/10/10 17:31:53.449,x,
1827,VL,2022/10/10 17:33:41.000,x,
1830,VL,2022/10/10 17:34:22.566,x,
1831,VL,2022/10/10 17:34:51.600,x,
1833,VELO,2022/10/10 17:35:29.749,x,
1836,VL,2022/10/10 17:36:23.535,x,
1844,VL,2022/10/10 17:37:37.233,x,
1855,VL,2022/10/10 17:38:00.201,x,
1859,VL,2022/10/10 17:38:48.116,x,
1860,VELO,2022/10/10 17:40:21.898,x,
1862,VELO,2022/10/10 17:40:47.816,x,
1863,VL,2022/10/10 17:40:51.449,x,
1866,VL,2022/10/10 17:41:19.682,x,
1883,VL,2022/10/10 17:42:35.965,x,
1884,VL,2022/10/10 17:44:36.781,x,
1890,VL,2022/10/10 17:45:46.781,x,
1891,VL,2022/10/10 17:46:37.235,x,
1900,VELO,2022/10/10 17:49:42.932,x,
1902,VL,2022/10/10 17:49:44.931,x,
1907,VELO,2022/10/10 17:50:10.566,x,
1908,VL,2022/10/10 17:51:28.050,x,
1911,VL,2022/10/10 17:51:55.900,x,
1913,VELO,2022/10/10 17:52:05.683,x,
1915,VL,2022/10/10 17:54:35.150,x,
1924,VL,2022/10/10 17:59:03.533,x,
1926,VL,2022/10/10 18:02:48.200,x,
1934,UT,2022/10/10 18:07:36.565,,x
1939,VL,2022/10/10 18:10:41.083,x,
1940,VL,2022/10/10 18:11:15.902,x,
1945,VL,2022/10/10 18:11:41.816,x,
1949,VL,2022/10/10 18:11:49.900,x,
1964,VL,2022/10/10 18:13:28.782,x,
1965,VL,2022/10/10 18:13:29.599,x,
1969,UT,2022/10/10 18:15:02.632,x,
1971,VL,2022/10/10 18:15:06.633,x,
1972,VL,2022/10/10 18:15:27.899,x,
1975,EDPM,2022/10/10 18:15:50.201,x,
1977,VL,2022/10/10 18:16:22.116,x,
1979,VELO,2022/10/10 18:16:58.335,x,
1982,VL,2022/10/10 18:17:15.000,,x
1994,VL,2022/10/10 18:18:45.683,x,
1997,VL,2022/10/10 18:19:58.566,x,
1998,VELO,2022/10/10 18:20:16.118,x,
2001,VL,2022/10/10 18:21:41.683,x,
2004,VELO,2022/10/10 18:26:20.567,x,
2009,VELO,2022/10/10 18:31:54.267,x,
2013,VL,2022/10/10 18:33:44.483,x,
2014,VL,2022/10/10 18:33:53.232,x,
2017,VELO,2022/10/10 18:38:37.818,x,
2018,VL,2022/10/10 18:41:32.052,x,
2020,VELO,2022/10/10 18:41:51.083,x,
2023,VL,2022/10/10 18:41:56.784,x,
2025,VL,2022/10/10 18:43:08.268,x,
2026,VL,2022/10/10 18:44:22.416,x,
2027,VL,2022/10/10 18:46:07.817,x,
2028,VL,2022/10/10 18:46:49.900,x,
2029,VL,2022/10/10 18:49:24.417,x,
2030,VELO,2022/10/10 18:50:58.266,x,
2031,VL,2022/10/10 18:50:58.715,x,
2034,VELO,2022/10/10 18:51:24.715,,x
2035,VL,2022/10/10 18:52:52.048,x,
2036,VELO,2022/10/10 18:53:46.634,x,
2038,VL,2022/10/10 18:58:09.601,x,
2039,VL,2022/10/10 18:58:39.234,x,
2040,VL,2022/10/10 19:01:33.668,x,
2042,VELO,2022/10/10 19:01:47.899,x,
2044,VELO,2022/10/10 19:02:15.901,x,
2057,VL,2022/10/10 19:07:33.384,x,
2058,VL,2022/10/10 19:07:57.668,x,
2078,VL,2022/10/10 19:08:27.082,,x
2081,VL,2022/10/10 19:08:33.385,,x
2165,VELO,2022/10/10 19:11:56.048,x,
2166,VL,2022/10/10 19:12:09.236,x,
2167,VELO,2022/10/10 19:12:28.417,x,
2171,VL,2022/10/10 19:12:46.715,x,
2172,UT,2022/10/10 19:13:08.052,,x
2174,VELO,2022/10/10 19:13:19.149,x,
2176,VELO,2022/10/10 19:15:02.715,,x
2178,MOTO,2022/10/10 19:16:27.966,x,
2181,VL,2022/10/10 19:16:35.083,x,
2254,VL,2022/10/10 19:17:49.747,,x
2270,VL,2022/10/10 19:18:00.052,x,
2331,VL,2022/10/10 19:22:42.484,x,
2389,VL,2022/10/10 19:26:21.682,x,
2415,VELO,2022/10/10 19:26:48.567,x,
2426,VL,2022/10/10 19:28:01.601,x,
2453,VL,2022/10/10 20:00:45.447,x,
2454,VELO,2022/10/10 20:04:58.946,x,
2459,VELO,2022/10/10 20:15:28.547,x,
2462,VL,2022/10/10 20:18:26.883,x,
2466,UT,2022/10/10 20:50:37.962,,x
2467,VL,2022/10/10 20:59:56.130,,x
2468,VL,2022/10/10 21:08:56.664,x,
2470,VL,2022/10/10 21:48:02.332,,x
2472,VL,2022/10/10 21:48:07.780,,x
2473,VL,2022/10/10 22:01:41.246,x,
2475,VL,2022/10/10 22:13:56.582,x,
2550,VL,2022/10/11 06:39:17.962,,x
2557,VELO,2022/10/11 07:00:12.713,,x
2579,UT,2022/10/11 07:23:50.397,,x
2583,VL,2022/10/11 07:31:03.248,,x
2584,VL,2022/10/11 07:31:06.332,,x
2596,VL,2022/10/11 07:35:16.582,x,
2597,UT,2022/10/11 07:38:17.914,x,
2599,PL_1,2022/10/11 07:38:52.581,x,
2615,VL,2022/10/11 07:44:09.400,,x
2628,VL,2022/10/11 07:48:10.385,,x
2635,VL,2022/10/11 07:49:44.982,x,
2640,VL,2022/10/11 07:50:42.915,,x
2641,VL,2022/10/11 07:51:16.382,x,
2644,VL,2022/10/11 07:53:23.848,x,
2646,VL,2022/10/11 07:56:44.449,,x
2648,VL,2022/10/11 07:57:53.215,,x
2649,VL,2022/10/11 07:57:57.315,,x
2650,VL,2022/10/11 07:58:51.648,,x
2651,UT,2022/10/11 07:59:08.280,,x
2652,VL,2022/10/11 07:59:27.879,,x
2658,VL,2022/10/11 07:59:45.166,,x
2663,VL,2022/10/11 07:59:57.365,x,
2690,VELO,2022/10/11 08:01:00.298,,x
2700,VELO,2022/10/11 08:01:45.966,,x
2718,VL,2022/10/11 08:06:48.282,,x
2723,VL,2022/10/11 08:07:34.848,,x
2729,VL,2022/10/11 08:10:08.066,,x
2730,VL,2022/10/11 08:10:10.350,,x
2732,VL,2022/10/11 08:10:13.848,,x
2733,UT,2022/10/11 08:11:16.199,,x
2745,VELO,2022/10/11 08:12:13.133,,x
2757,UT,2022/10/11 08:13:00.417,,x
2758,VL,2022/10/11 08:13:16.066,,x
2770,VELO,2022/10/11 08:13:29.633,,x
2773,VL,2022/10/11 08:13:35.199,x,
2786,UT,2022/10/11 08:18:41.213,x,
2788,VL,2022/10/11 08:19:38.566,,x
2789,VL,2022/10/11 08:20:19.781,,x
2790,VL,2022/10/11 08:20:22.133,,x
2791,UT,2022/10/11 08:20:48.213,,x
2792,VL,2022/10/11 08:21:21.632,,x
2793,VL,2022/10/11 08:22:31.917,,x
2794,VL,2022/10/11 08:22:33.351,,x
2797,VL,2022/10/11 08:24:30.916,,x
2798,VL,2022/10/11 08:24:36.699,x,
2804,VL,2022/10/11 08:26:01.062,,x
2806,EDPM,2022/10/11 08:26:08.915,,x
2807,VL,2022/10/11 08:26:21.997,,x
2809,VL,2022/10/11 08:26:31.063,,x
2810,VL,2022/10/11 08:27:02.066,,x
2813,VL,2022/10/11 08:27:16.768,,x
2814,VL,2022/10/11 08:27:19.698,,x
2815,VL,2022/10/11 08:29:10.417,,x
2817,VL,2022/10/11 08:30:14.851,,x
2820,VELO,2022/10/11 08:30:28.565,,x
2821,PL_1,2022/10/11 08:30:56.280,,x
2822,UT,2022/10/11 08:30:57.346,x,
2824,VL,2022/10/11 08:32:04.568,,x
2827,VL,2022/10/11 08:32:10.915,x,
2833,VL,2022/10/11 08:34:07.352,,x
2834,VELO,2022/10/11 08:34:08.416,,x
2835,VL,2022/10/11 08:34:11.418,,x
2838,VL,2022/10/11 08:35:44.065,,x
2840,VELO,2022/10/11 08:36:20.483,,x
2842,UT,2022/10/11 08:37:12.349,,x
2843,VL,2022/10/11 08:37:13.700,,x
2844,VELO,2022/10/11 08:37:26.201,,x
2849,VELO,2022/10/11 08:38:13.283,,x
2851,VL,2022/10/11 08:38:43.699,,x
2853,VELO,2022/10/11 08:38:49.633,,x
2856,VL,2022/10/11 08:38:52.916,,x
2858,EDPM,2022/10/11 08:39:00.346,,x
2859,VL,2022/10/11 08:39:03.065,,x
2860,VL,2022/10/11 08:39:26.065,,x
2861,VL,2022/10/11 08:40:20.131,,x
2863,VL,2022/10/11 08:41:20.349,,x
2864,VL,2022/10/11 08:41:47.781,,x
2866,VL,2022/10/11 08:42:02.212,,x
2867,UT,2022/10/11 08:42:56.198,,x
2869,VL,2022/10/11 08:43:17.783,,x
2870,VELO,2022/10/11 08:43:49.349,x,
2874,PL_1,2022/10/11 08:43:55.065,x,
2875,UT,2022/10/11 08:43:59.351,,x
2876,EDPM,2022/10/11 08:44:14.847,,x
2877,VELO,2022/10/11 08:44:15.132,,x
2879,VL,2022/10/11 08:44:37.484,,x
2880,VL,2022/10/11 08:44:45.633,,x
2882,VELO,2022/10/11 08:44:56.063,,x
2883,MOTO,2022/10/11 08:45:25.781,,x
2885,VL,2022/10/11 08:45:43.633,,x
2892,VELO,2022/10/11 08:46:10.915,,x
2906,VELO,2022/10/11 08:48:06.349,,x
2907,VELO,2022/10/11 08:48:24.283,,x
2909,VL,2022/10/11 08:48:52.268,,x
2911,VL,2022/10/11 08:49:28.417,,x
2915,UT,2022/10/11 08:50:17.999,,x
2917,VL,2022/10/11 08:50:55.999,,x
2923,VL,2022/10/11 08:51:45.783,,x
2926,VL,2022/10/11 08:52:35.701,,x
2935,VL,2022/10/11 08:53:54.283,,x
